title,type_code,faction_code,pack_code,stripped_text
Obelus,hardware,anarch,es,"+1 mu You get +1 maximum hand size for each tag you have. The first time each turn a successful run on HQ or R&D ends, draw 1 card for each time you accessed a card during that run. Limit 1 console per player."
Respirocytes,hardware,anarch,cd,"When you install this hardware, suffer 1 meat damage. The first time each turn you have no cards in your grip, draw 1 card and place 1 power counter on this hardware. When this hardware has 3 or more hosted power counters, trash it."
Skulljack,hardware,anarch,cc,"When you install this hardware, suffer 1 core damage. The trash cost of each Corp card is lowered by 1."
Spinal Modem,hardware,anarch,wla,"+1 mu, 2 recurring credits You can spend hosted credits to use icebreakers. Whenever there is a successful trace during a run, suffer 1 core damage. Limit 1 console per player."
Berserker,program,anarch,eas,"Whenever you encounter a barrier, for the remainder of that encounter this program gets +1 strength for each subroutine on that barrier. Interface -> 2 credits: Break up to 2 barrier subroutines."
Bishop,program,anarch,st,"Host ice gets -2 strength. click: Host this program on a piece of ice that is not hosting a Caissa program. If this program is hosted on ice protecting a central server, its click ability can only be used to host it on ice protecting a remote server. If this program is hosted on ice protecting a remote server, its click ability can only be used to host it on ice protecting a central server."
Cerberus "Cuj.0" H3,program,anarch,atr,"When you install this program, place 4 power counters on it. Interface -> Hosted power counter: Break up to 2 sentry subroutines. 1 credit: +1 strength."
Clot,program,anarch,val,"The Corp cannot score an agenda during the same turn they installed that agenda. When the Corp purges virus counters, trash this program."
Corroder,program,anarch,core,"Interface -> 1 credit: Break 1 barrier subroutine. 1 credit: +1 strength."
Cradle,program,anarch,rar,"This program gets -1 strength for each card in your grip. Interface -> 2 credits: Break any number of code gate subroutines."
Darwin,program,anarch,fp,"Interface -> 2 credits: Break 1 subroutine. X is equal to the number of hosted virus counters. When your turn begins, you may pay 1 credit to place 1 virus counter on this program."
Datasucker,program,anarch,core,"Whenever you make a successful run on a central server, place 1 virus counter on Datasucker. Hosted virus counter: Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter."
Diwan,program,anarch,bf,"When you install this program, choose a server. As an additional cost to install a card in the root of or protecting that server, the Corp must pay 1 credit. When the Corp purges virus counters, trash this program."
Force of Nature,program,anarch,asis,"Interface -> 2 credits: Break up to 2 code gate subroutines. 1 credit: +1 strength."
Hemorrhage,program,anarch,fal,"Whenever you make a successful run, place 1 virus counter on Hemorrhage. click, 2 hosted virus counters: The Corp trashes 1 card from HQ."
Imp,program,anarch,wla,"When you install this program, place 2 virus counters on it. Access -> Hosted virus counter: Trash the card you are accessing. Use this ability only once per turn."
Knight,program,anarch,mt,"Interface -> 2 credits: Break 1 subroutine on host ice. click: Host this program on a piece of ice that is not hosting a Caissa program. If this program is hosted on ice, its click ability cannot be used to host it on the next inward or outward piece of ice."
Mimic,program,anarch,core,"Interface -> 1 credit: Break 1 sentry subroutine."
Morning Star,program,anarch,wla,"Interface -> 1 credit: Break any number of barrier subroutines."
Nerve Agent,program,anarch,ce,"Whenever you make a successful run on HQ, place 1 virus counter on this program. Whenever you breach HQ, choose a number less than the number of hosted virus counters. Access that many additional cards."
Nfr,program,anarch,bm,"Whenever this program fully breaks a piece of ice, place 1 power counter on this program. This program gets +1 strength for each power counter on it. Interface -> 1 credit: Break 1 barrier subroutine."
Parasite,program,anarch,core,"Install only on a rezzed piece of ice. When your turn begins, place 1 virus counter on this program. Host ice gets -1 strength for each hosted virus counter. When the strength of host ice is 0 or less, trash it."
Persephone,program,anarch,eas,"Interface -> 2 credits: Break 1 sentry subroutine. 1 credit: +1 strength. Whenever you pass a sentry after encountering it, you may trash the top card of your stack. If you do, trash 1 card from the top of R&D for each subroutine on that sentry that resolved during that encounter."
Plague,program,anarch,dtwn,"When you install Plague, choose a server. Whenever you make a successful run on the chosen server, you may place 2 virus counters on Plague."
Wyrm,program,anarch,core,"Interface -> 3 credits: Break 1 subroutine on a piece of ice with 0 or less strength. Interface -> 1 credit: The ice you are encountering gets -1 strength for the remainder of this encounter. 1 credit: +1 strength."
Clan Vengeance,resource,anarch,so,"Whenever you suffer any amount of damage, place 1 power counter on Clan Vengeance. trash: Trash 1 card from HQ at random for each power counter on Clan Vengeance."
Counter Surveillance,resource,anarch,so,"click, trash: Run any server. If successful, instead of breaching the attacked server, pay X credits if able, where X is equal to the number of tags you have. If you do, choose a number less than or equal to X. Access that many cards in and/or in the root of the attacked server. (If you cannot pay, you will not access anything.)"
Crypt,resource,anarch,cotc,"Whenever you make a successful run on Archives, you may place 1 virus counter on Crypt. click, trash, 3 hosted virus counters: Search your stack for a virus program and install it (paying its install cost), then shuffle your stack."
Duggar's,resource,anarch,fc,"click,click,click,click: Draw 10 cards."
Hard at Work,resource,anarch,st,"When your turn begins, gain 2 credits and lose click."
Ice Carver,resource,anarch,core,"While you are encountering a piece of ice, it gets -1 strength."
Jarogniew Mercs,resource,anarch,baw,"When you install Jarogniew Mercs, take 1 tag. Place 3 power counters on Jarogniew Mercs, and 1 additional power counter for each tag you have. When there are no power counters left on Jarogniew Mercs, trash it. The Corp cannot trash Jarogniew Mercs while there is another resource installed. Hosted power counter: Prevent 1 meat damage."
Joshua B.,resource,anarch,ce,"When your turn begins, you may gain click. If you do, take 1 tag when this turn ends."
Liberated Account,resource,anarch,ta,"When you install this resource, load 16 credits onto it. When it is empty, trash it. click: Take 4 credits from this resource."
Salvaged Vanadis Armory,resource,anarch,cd,"trash: The Corp trashes the top X cards of R&D. X is equal to the amount of damage you have suffered this turn. Use this ability only during the next paid ability window after suffering any amount of damage."
Scrubber,resource,anarch,asis,"2 recurring credits (When you install this card and before your turn begins, refill to 2 hosted credits.) You can spend hosted credits to pay trash costs."
Stim Dealer,resource,anarch,oac,"When your turn begins, if there are 2 or more hosted power counters, remove all of them and suffer 1 core damage. This damage cannot be prevented. Otherwise, place 1 power counter on this resource and gain click."
Tallie Perrault,resource,anarch,fal,"Whenever a gray ops or black ops operation is trashed after resolving, you may give the Corp 1 bad publicity and take 1 tag. trash: Draw 1 card for each bad publicity the Corp has."
Xanadu,resource,anarch,hs,"The rez cost of each piece of ice is increased by 1 credit."
Gabriel Santiago: Consummate Professional,identity,criminal,core,"The first time you make a successful run on HQ each turn, gain 2 credits."
Iain Stirling: Retired Spook,identity,criminal,hap,"When your turn begins, gain 2 credits if the Corp has more scored agenda points than you."
Liza Talking Thunder: Prominent Legislator,identity,criminal,rar,"The first time you make a successful run on a central server each turn, draw 2 cards and take 1 tag."
Nero Severn: Information Broker,identity,criminal,dag,"Once per turn, you may jack out when you encounter a sentry."
Calling in Favors,event,criminal,hap,"Gain 1 credit for each installed connection resource."
Credit Kiting,event,criminal,dtwn,"Play only if you made a successful run on a central server this turn. Install a card from your grip, lowering its install cost by 8 credits, and take 1 tag."
Easy Mark,event,criminal,core,"Gain 3 credits."
Emergency Shutdown,event,criminal,ce,"Play only if you made a successful run on HQ this turn. Derez 1 installed piece of ice."
Exclusive Party,event,criminal,si,"Draw 1 card. Gain 1 credit for each copy of Exclusive Party in your heap. Limit 6 per deck."
Falsified Credentials,event,criminal,tdatd,"Name a card type. Expose a card in a remote server, then gain 5 credits if the exposed card has the named card type."
Forged Activation Orders,event,criminal,core,"Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it."
High-Stakes Job,event,criminal,kg,"Make a run on a server with at least 1 piece of unrezzed ice. When the run ends, gain 12 credits if it was successful."
Inside Job,event,criminal,core,"Run any server. The first time you encounter a piece of ice during that run, bypass it."
Leverage,event,criminal,tc,"Play only if you made a successful run on HQ this turn. Prevent all damage until the beginning of your next turn unless the Corp takes 2 bad publicity."
Möbius,event,criminal,so,"Make a run on R&D. If successful, you may make another run on R&D when this run ends. If the second run is successful, gain 4 credits."
On the Lam,event,criminal,ml,"Install On the Lam on a resource as a hosted condition counter with the text 'trash: Avoid up to 3 tags or prevent up to 3 damage.'"
Running Interference,event,criminal,mt,"As an additional cost to play this event, spend click. Make a run. During this run, the Corp must pay X credits as an additional cost to rez each piece of ice, where X is the rez cost of that ice."
Satellite Uplink,event,criminal,ta,"Expose up to 2 cards."
Special Order,event,criminal,core,"Search your stack for an icebreaker, reveal it, and add it to your grip. Shuffle your stack."
Spot the Prey,event,criminal,dc,"Expose 1 non-ice card, then make a run."
Three Steps Ahead,event,criminal,tsb,"Play only as your first click. When this turn ends, gain 2 credits for each successful run you made during it."
Unscheduled Maintenance,event,criminal,tsb,"This card is not trashed until another current is played or an agenda is scored. The Corp cannot install more than 1 piece of ice each turn."
Box-E,hardware,criminal,fc,"+2 mu Your maximum hand size is increased by 2. Limit 1 console per player."
Desperado,hardware,criminal,core,"+1 mu Gain 1 credit whenever you make a successful run. Limit 1 console per player."
Doppelgänger,hardware,criminal,asis,"+1 mu Once per turn, you may immediately make another run when a successful run ends. Limit 1 console per player."
Forger,hardware,criminal,uw,"+1 link Interrupt -> trash: Prevent 1 tag. trash: Remove 1 tag. Limit 1 console per player."
HQ Interface,hardware,criminal,hs,"Whenever you breach HQ, access 1 additional card."
Polyhistor,hardware,criminal,td,"+1 mu, +1 link The first time each turn you pass all of the ice protecting HQ, you may draw 1 card to force the Corp to draw 1 card. Limit 1 console per player."
Recon Drone,hardware,criminal,qu,"X credits,trash: Prevent X damage from a card currently being accessed."
Reflection,hardware,criminal,dag,"+1 mu +1 link Whenever you jack out, the Corp reveals 1 card from HQ at random. Limit 1 console per player."
Silencer,hardware,criminal,dt,"1 recurring credit Use this credit to pay for using killers."
Spy Camera,hardware,criminal,dag,"click: Look at the top X cards of your stack and arrange them in any order. X is the number of copies of Spy Camera installed. trash: Look at the top card of R&D. Limit 6 per deck."
Aumakua,program,criminal,cd,"This program gets +1 strength for each hosted virus counter. Whenever you expose a card, place 1 virus counter on this program. Whenever you finish breaching a server, if you did not steal or trash any accessed cards, place 1 virus counter on this program. Interface -> 1 credit: Break 1 subroutine."
Aurora,program,criminal,core,"Interface -> 2 credits: Break 1 barrier subroutine. 2 credits: +3 strength."
Bankroll,program,criminal,rar,"Whenever you make a successful run, you may place 1 credit from the bank on Bankroll. trash: Take all credits from Bankroll."
Breach,program,criminal,hap,"Interface -> 2 credits: Break up to 3 barrier subroutines. 2 credits: +4 strength. This program cannot interface with ice protecting a remote server."
Copycat,program,criminal,st,"Whenever you pass a piece of ice, you may trash Copycat. If you do, choose another rezzed copy of that piece of ice protecting any server. The run continues as if you had just passed the chosen piece of ice (you are now running from the new position)."
Crowbar,program,criminal,cc,"If you have at least 2 link, the memory cost of this program is 0 mu, even if it is not installed. This program gets +1 strength for each installed icebreaker. Interface -> trash: Break up to 3 code gate subroutines."
Faerie,program,criminal,fp,"Interface -> 0 credits: Break 1 sentry subroutine. 1 credit: +1 strength. Whenever an encounter ends, if you used this program to break a subroutine during that encounter, trash this program."
Femme Fatale,program,criminal,core,"Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +1 strength. When you install this program, choose 1 installed piece of ice. Whenever you encounter the chosen ice, you may pay 1 credit for each subroutine it has. If you do, bypass that ice."
Golden,program,criminal,bm,"Interface -> 2 credits: Break up to 2 sentry subroutines. 2 credits: +4 strength. 2 credits, add this program to your grip: Derez 1 sentry this program fully broke during this encounter."
Grappling Hook,program,criminal,hap,"trash: Break all but 1 subroutine on a piece of ice."
Ninja,program,criminal,core,"Interface -> 1 credit: Break 1 sentry subroutine. 3 credits: +5 strength."
Passport,program,criminal,hap,"Interface -> 1 credit: Break 1 code gate subroutine. 2 credits: +2 strength. This program cannot interface with ice protecting a remote server."
Peacock,program,criminal,wla,"Interface -> 2 credits: Break 1 code gate subroutine. 2 credits: +3 strength."
Pheromones,program,criminal,hs,"X recurring credits Use these credits during runs on HQ. X is the number of virus counters on Pheromones. Whenever you make a successful run on HQ, place 1 virus counter on Pheromones."
Saker,program,criminal,in,"Interface -> 1 credit: Break 1 barrier subroutine. 2 credits: +2 strength. 2 credits, add this program to your grip: Derez 1 barrier this program fully broke during this encounter."
Sneakdoor Beta,program,criminal,core,"click: Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run."
Spike,program,criminal,val,"If you have at least 2 link, the memory cost of this program is 0 mu, even if it is not installed. This program gets +1 strength for each installed icebreaker. Interface -> trash: Break up to 3 barrier subroutines."
Tycoon,program,criminal,rar,"Interface -> 1 credit: Break up to 2 barrier subroutines. 2 credits: +3 strength. Whenever an encounter ends, if you used this program to break a subroutine during that encounter, the Corp gains 2 credits."
Vamadeva,program,criminal,si,"Interface -> 1 credit: Break 1 subroutine on a piece of ice with exactly 1 subroutine. 1 credit: +1 strength. 2 credits: Swap this program with a deva program from your grip."
Aaron Marrón,resource,criminal,qu,"Whenever an agenda is scored or stolen, place 2 power counters on Aaron Marron. Hosted power counter: Remove 1 tag and draw 1 card."
Bank Job,resource,criminal,core,"When you install this resource, load 8 credits on it. When it is empty, trash it. Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource."
Charlatan,resource,criminal,td,"click click: Run any server. The first time you approach a rezzed piece of ice during this run, you may pay credits equal to the strength of that ice. If you do, when you encounter that ice after this approach, bypass it."
Crash Space,resource,criminal,core,"2 recurring credits Use these credits to pay for removing tags. trash: Prevent up to 3 meat damage."
Data Dealer,resource,criminal,core,"click, forfeit 1 agenda: Gain 9 credits."
Enhanced Vision,resource,criminal,val,"The first time you make a successful run each turn, the Corp reveals 1 card at random from HQ."
Fall Guy,resource,criminal,dt,"trash: Prevent another installed resource from being trashed. trash: Gain 2 credits."
Keros Mcintyre,resource,criminal,baw,"The first time you derez a piece of ice each turn, gain 2 credits."
Lewi Guilherme,resource,criminal,ss,"When your turn begins, either lose 1 credit or trash Lewi Guilherme. The Corp's maximum hand size is reduced by 1."
Mr. Li,resource,criminal,fp,"click: Draw 2 cards. When you do, add 1 of those cards to the bottom of your stack."
Security Testing,resource,criminal,hap,"When your turn begins, you may choose a server. The first time each turn you make a successful run on the chosen server, instead of breaching it, gain 2 credits."
Slipstream,resource,criminal,win,"Whenever you pass a rezzed piece of ice, you may trash this resource. If you do, choose 1 piece of ice protecting a central server in the same position as the passed ice. Move to that ice and approach it. You may jack out."
The Supplier,resource,criminal,fc,"click: Host a resource or piece of hardware from your grip on The Supplier. When your turn begins, you may install a hosted card, lowering the install cost by 2."
Theophilius Bagbiter,resource,criminal,hap,"When you install Theophilius Bagbiter, lose all credits in your credit pool. Your maximum hand size is equal to the number of credits in your credit pool."
Tri-maf Contact,resource,criminal,hap,"You cannot use Tri-maf Contact more than once per turn. click: Gain 2 credits. When Tri-maf Contact is trashed, suffer 3 meat damage."
Akiko Nisei: Head Case,identity,shaper,rar,"Whenever you breach R&D, you and the Corp secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Corp spent the same number of credits, access 1 additional card."
Chaos Theory: Wünderkind,identity,shaper,ce,"+1 mu"
Kabonesa Wu: Netspace Thrillseeker,identity,shaper,dtwn,"click: Search your stack for a non-virus program and install it, lowering its install cost by 1 credit, then shuffle your stack. If that program is still installed when your turn ends, remove it from the game."
Rielle “Kit” Peddler: Transhuman,identity,shaper,cac,"The first time each turn you encounter a piece of ice, it gains code gate for the remainder of this run."
Cold Read,event,shaper,ml,"Place 4 credits on this event, then run any server. You can spend hosted credits during that run. When that run ends, trash 1 installed program you used during that run. Trashing a program this way cannot be prevented."
Diesel,event,shaper,core,"Draw 3 cards."
Escher,event,shaper,cac,"Run HQ. If successful, instead of breaching HQ, rearrange any number of ice protecting all servers. (Do not rez or derez any ice or change the number of ice protecting any server.)"
Game Day,event,shaper,bb,"As an additional cost to play this event, spend click. If you have fewer cards in your grip than your maximum hand size, draw cards until you have cards in your grip equal to your maximum hand size."
Indexing,event,shaper,fp,"Run R&D. If successful, instead of breaching R&D, you may look at the top 5 cards of R&D and arrange them in any order."
Lean and Mean,event,shaper,fm,"Make a run. If you have 3 or fewer programs installed, all icebreakers have +2 strength during this run."
Levy AR Lab Access,event,shaper,cac,"Shuffle your grip and heap into your stack. Draw 5 cards. Remove Levy AR Lab Access from the game instead of trashing it."
Modded,event,shaper,core,"Install a program or piece of hardware, lowering the install cost by 3."
Net Celebrity,event,shaper,tsb,"This card is not trashed until another current is played or an agenda is scored. 1 recurring credit Use this credit during a run."
Notoriety,event,shaper,ta,"Play only if you made a successful run on R&D, HQ, and Archives this turn. Add Notoriety to your score area as an agenda worth 1 agenda point."
Quality Time,event,shaper,hs,"Draw 5 cards."
Reshape,event,shaper,cd,"Swap 2 pieces of unrezzed ice."
System Seizure,event,shaper,so,"This event is not trashed until another current is played or an agenda is scored. Interrupt -> The first time each turn you would increase the strength of an icebreaker, for the remainder of the run that icebreaker gains 'Abilities that increase this program's strength last for the remainder of the run (instead of any shorter duration).'"
Test Run,event,shaper,ce,"Search either your stack or your heap for 1 program. (Shuffle your stack after searching it.) Install that program, ignoring all costs. When your turn ends, if that program has not been uninstalled, add it to the top of your stack."
The Maker’s Eye,event,shaper,core,"Run R&D. If successful, access 2 additional cards when you breach R&D."
Tinkering,event,shaper,core,"Choose a piece of ice. That ice gains sentry, code gate, and barrier until the end of the turn."
Akamatsu Mem Chip,hardware,shaper,core,"+1 mu"
Astrolabe,hardware,shaper,uao,"+1 mu Draw 1 card whenever the Corp creates a server. Limit 1 console per player."
Clone Chip,hardware,shaper,cac,"trash: Install a program from your heap (paying the install cost)."
Daredevil,hardware,shaper,baw,"+2 mu The first time you initiate a run on a server protected by 2 or more pieces of ice each turn, draw 2 cards. Limit 1 console per player."
Dedicated Processor,hardware,shaper,eas,"Install Dedicated Processor on a non-AI icebreaker. Host icebreaker gains '2 credits: +4 strength.'"
Dinosaurus,hardware,shaper,ce,"Dinosaurus can host a single non-AI icebreaker. The memory cost of the hosted icebreaker does not count against your memory limit. Hosted icebreaker has +2 strength. Limit 1 console per player."
Gebrselassie,hardware,shaper,win,"click: Host this hardware on an installed non-AI icebreaker. Abilities that increase host icebreaker's strength last for the remainder of the turn (instead of any shorter duration)."
Lockpick,hardware,shaper,om,"1 recurring credit Use this credit to pay for using decoders."
Mind's Eye,hardware,shaper,rar,"+1 mu Whenever you make a successful run on R&D, you may place 1 power counter on this hardware. click, 3 hosted power counters: Breach R&D. You cannot access cards in the root of R&D during this breach. Limit 1 console per player."
Mâché,hardware,shaper,rar,"The first time you trash an accessed card each turn, you may place power counters on Mache equal to that card's trash cost. 3 hosted power counters: Draw 1 card."
Rabbit Hole,hardware,shaper,core,"+1 link When Rabbit Hole is installed, you may search your stack for another copy of Rabbit Hole and install it by paying its install cost. Shuffle your stack."
The Personal Touch,hardware,shaper,core,"Install The Personal Touch only on an icebreaker. Host icebreaker has +1 strength."
Ubax,hardware,shaper,td,"+1 mu When your turn begins, draw 1 card. Limit 1 console per player."
Alpha,program,shaper,fal,"Interface -> 1 credit: Break 1 subroutine. 1 credit: +1 strength. This program can only interface with the outermost piece of ice protecting a server."
Atman,program,shaper,cac,"When you install this program, you may pay X credits to place X power counters on it. This program gets +1 strength for each hosted power counter, and it can only interface with ice of exactly equal strength. Interface -> 1 credit: Break 1 subroutine."
Battering Ram,program,shaper,core,"Interface -> 2 credits: Break up to 2 barrier subroutines. 1 credit: +1 strength for the remainder of this run."
Creeper,program,shaper,hs,"If you have at least 2 link, the memory cost of this program is 0 mu, even if it is not installed. Interface -> 2 credits: Break 1 sentry subroutine. 1 credit: +1 strength."
Customized Secretary,program,shaper,so,"When you install Customized Secretary reveal the top 5 cards of the stack. You may host any number of revealed programs from your stack on it. Shuffle your stack. click: Install a hosted program, paying all install costs."
DaVinci,program,shaper,uot,"Whenever you make a successful run, place 1 power counter on DaVinci. trash: Install a card from your grip with an install cost equal to or less than the number of power counters on DaVinci, ignoring the install cost."
Dai V,program,shaper,23s,"Interface -> 2 credits: Break all subroutines. Use this ability only by spending credits from stealth cards. 1 credit: +1 strength."
Egret,program,shaper,td,"Install only on a rezzed piece of ice. Host ice gains barrier, code gate, and sentry."
Fawkes,program,shaper,qu,"Interface -> 1 credit: Break 1 sentry subroutine. X credits: +X strength for the remainder of this run. Use this ability only by spending at least 1 credit from a stealth card."
Gordian Blade,program,shaper,core,"Interface -> 1 credit: Break 1 code gate subroutine. 1 credit: +1 strength for the remainder of this run."
Houdini,program,shaper,es,"Interface -> 1 credit: Break 1 code gate subroutine. 2 credits: +4 strength for the remainder of this run. Use this ability only by spending at least 1 credit from a stealth card."
Kyuban,program,shaper,rar,"Install only on a piece of ice. Whenever you pass host ice, gain 2 credits."
Laamb,program,shaper,win,"Whenever you encounter a piece of ice, you may pay 2 credits. If you do, it gains barrier for the remainder of that encounter. Use this ability only once per turn. Interface -> 2 credits: Break any number of barrier subroutines. 3 credits: +6 strength."
Magnum Opus,program,shaper,core,"click: Gain 2 credits."
Misdirection,program,shaper,ml,"click, click, X credits: Remove X tags."
Nyashia,program,shaper,tdatd,"When you install this program, place 3 power counters on it. Whenever you breach R&D, you may remove 1 hosted power counter to access 1 additional card."
Panchatantra,program,shaper,kg,"Once per turn, when you encounter a piece of ice, you may have it gain 1 subtype of your choice that is not sentry, code gate, or barrier for the remainder of this run."
Paricia,program,shaper,cac,"2 recurring credits (When you install this card and before your turn begins, refill to 2 hosted credits.) You can spend hosted credits to pay trash costs of assets."
Pipeline,program,shaper,core,"Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +1 strength for the remainder of this run."
Savant,program,shaper,td,"This program gets +1 strength for each unused MU. Interface -> 2 credits: Break 1 sentry or 2 code gate subroutines."
Self-modifying Code,program,shaper,cac,"2 credits, trash: Search your stack for 1 program. Install it. (Shuffle your stack after searching it.)"
Takobi,program,shaper,dtwn,"Whenever you fully break a piece of ice, you may place 1 power counter on this program. 2 hosted power counters: Choose 1 installed non-AI icebreaker. That icebreaker gets +3 strength for the remainder of the current encounter."
Upya,program,shaper,ss,"Whenever you make a successful run on R&D, you may place 1 power counter on Upya. click, 3 hosted power counters: Gain click click. Use this ability only once per turn."
Aesop’s Pawnshop,resource,shaper,core,"When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3 credits."
Algo Trading,resource,shaper,bm,"When your turn begins, you may move up to 3 credits from your credit pool to Algo Trading. When your turn begins, place 2 credits on Algo Trading from the bank if there are at least 6 credits on it. click,trash: Take all credits from Algo Trading."
All-nighter,resource,shaper,asis,"click, trash: Gain click click."
Ice Analyzer,resource,shaper,cac,"Whenever the Corp rezzes a piece of ice, place 1 credit on Ice Analyzer. You may use credits on Ice Analyzer to install programs."
Laguna Velasco District,resource,shaper,td,"Whenever you take the basic action to draw cards, increase the number of cards you draw by 1."
Net Mercur,resource,shaper,es,"The first time you spend at least 1 credit from a stealth card each run, place 1 credit on Net Mercur or draw 1 card. Use credits on Net Mercur for anything."
Personal Workshop,resource,shaper,ce,"click: Host a program or piece of hardware from your grip on Personal Workshop and place power counters on it equal to its install cost. 1 credit: Remove 1 power counter from a hosted card. When your turn begins, remove 1 power counter from a hosted card. When there are no power counters left on a hosted card, install it, ignoring all costs."
Professional Contacts,resource,shaper,cac,"click: Gain 1 credit and draw 1 card."
Reclaim,resource,shaper,ka,"click, trash, trash a card from your grip: Install a program, piece of hardware, or virtual resource from your heap, paying its install cost."
Sacrificial Construct,resource,shaper,core,"trash: Prevent an installed program or an installed piece of hardware from being trashed."
Temple of the Liberated Mind,resource,shaper,tlm,"click: Place 1 power counter on Temple of the Liberated Mind. Hosted power counter: Gain click. Use this ability only on your turn and only once per turn."
Tyson Observatory,resource,shaper,bb,"click, click: Search your stack for a piece of hardware, reveal it, and add it to your grip. Shuffle your stack."
Blackmail,event,neutral-runner,fal,"Play only if the Corp has at least 1 bad publicity. Make a run. The Corp cannot rez ice for the duration of this run."
Build Script,event,neutral-runner,so,"Gain 1 credit and draw 2 cards."
Deuces Wild,event,neutral-runner,23s,"Resolve two of the following in any order: * Gain 3 credits. * Draw 2 cards. * Remove 1 tag. * Expose 1 piece of ice, then make a run."
Infiltration,event,neutral-runner,core,"Gain 2 credits or expose 1 card."
Peace in Our Time,event,neutral-runner,qu,"Play only as your first click and only if the Corp scored no agendas during their last turn. Gain 10 credits. The Corp gains 5 credits. You cannot make any runs this turn."
Populist Rally,event,neutral-runner,bf,"Play only if you have a seedy card installed. The Corp gets -1 allotted click for their next turn."
Sure Gamble,event,neutral-runner,core,"Gain 9 credits."
Traffic Jam,event,neutral-runner,val,"This card is not trashed until another current is played or an agenda is scored. The advancement requirement of each agenda is increased by 1 for each copy of that agenda in the Corp's score area."
Dyson Mem Chip,hardware,neutral-runner,ta,"+1 mu, +1 link"
